repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,198000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,168000,https://github.com/tensorflow/tensorflow
CS-Notes,CyC2018,157000,https://github.com/CyC2018/CS-Notes
Python,TheAlgorithms,145000,https://github.com/TheAlgorithms/Python
awesome-python,vinta,143000,https://github.com/vinta/awesome-python
free-programming-books-zh_CN,justjavac,95800,https://github.com/justjavac/free-programming-books-zh_CN
project-based-learning,practical-tutorials,78200,https://github.com/practical-tutorials/project-based-learning
thefuck,nvbn,73500,https://github.com/nvbn/thefuck
transformers,huggingface,70900,https://github.com/huggingface/transformers
django,django,66500,https://github.com/django/django
flask,pallets,60600,https://github.com/pallets/flask
HelloGitHub,521xueweihan,59600,https://github.com/521xueweihan/HelloGitHub
pytorch,pytorch,59100,https://github.com/pytorch/pytorch
keras,keras-team,56200,https://github.com/keras-team/keras
core,home-assistant,55000,https://github.com/home-assistant/core
ansible,ansible,54700,https://github.com/ansible/ansible
scikit-learn,scikit-learn,51500,https://github.com/scikit-learn/scikit-learn
fastapi,tiangolo,49800,https://github.com/tiangolo/fastapi
leetcode,azl397985856,49400,https://github.com/azl397985856/leetcode
requests,psf,48300,https://github.com/psf/requests
